Model,ECS,TCR
ACCESS-CM2,4.664237462,1.96237431
ACCESS-ESM1-5,3.879417218,1.970715519
AWI-CM-1-1-MR,3.159527096,2.031810341
BCC-CSM2-MR,3.018665807,1.546891642
BCC-ESM1,3.255940474,1.735603678
CAMS-CSM1-0,2.291624979,1.728004257
CAS-ESM2-0,NA,NA
CESM2,5.146259899,2.003971096
CESM2-FV2,5.149552468,1.988011058
CESM2-WACCM,4.681758821,1.914746222
CESM2-WACCM-FV2,4.783621681,2.036726659
CIESM,5.632681274,2.249692055
CMCC-CM2-SR5,3.556398678,2.142187476
CMCC-ESM2,3.577052775,1.923016402
CNRM-CM6-1,4.901183874,2.218025264
CNRM-CM6-1-HR,4.335309267,2.461048993
CNRM-ESM2-1,4.788469719,1.833202885
CanESM5,5.636873468,2.711812751
CanESM5-CanOE,5.636873468,2.711812751
E3SM-1-0,5.306919134,2.904417132
E3SM-1-1,5.306919134,2.904417132
EC-Earth3,4.26,2.3
EC-Earth3-AerChem,3.866865489,2.13192523
EC-Earth3-CC,4.229282089,2.63164273
EC-Earth3-Veg,4.32919491,2.656422231
EC-Earth3-Veg-LR,NA,NA
FGOALS-f3-L,3,1.94
FGOALS-g3,2.87024724,1.503354982
FIO-ESM-2-0,NA,2.22
GFDL-CM4,3.890238321,2.001186263
GFDL-ESM4,2.649279145,1.630072052
GISS-E2-1-G,2.635084838,1.803063726
GISS-E2-1-H,3.117341079,1.866623273
GISS-E2-2-G,2.426388637,1.713000719
HadGEM3-GC31-LL,5.545386894,2.49021627
HadGEM3-GC31-MM,5.433268124,2.596904608
IITM-ESM,2.367105966,1.656240988
INM-CM4-8,1.827592314,1.299199352
INM-CM5-0,1.916870592,1.410201292
IPSL-CM5A2-INCA,3.81052807,1.929233007
IPSL-CM6A-LR,4.696545577,2.348843168
KACE-1-0-G,4.75,2.04
KIOST-ESM,3.36,NA
MCM-UA-1-0,3.76,1.9
MIROC-ES2H,2.6,NA
MIROC-ES2L,2.660001158,1.48949698
MIROC6,2.601024389,1.548905511
MPI-ESM-1-2-HAM,2.95296975,1.763742726
MPI-ESM1-2-HR,2.979607904,1.637650829
MPI-ESM1-2-LR,3.024016689,1.820891509
MRI-ESM2-0,3.133256589,1.666745458
NESM3,4.72,2.72
NorCPM1,3.05,1.45
NorESM2-LM,2.560475968,1.490950725
NorESM2-MM,2.486417988,1.223838016
SAM0-UNICON,3.724678043,2.222009182
TaiESM1,4.3568616,2.269853699
UKESM1-0-LL,5.358360333,2.769188789
