Date,SPX,DAX,FTSE,NIKKEI
07/01/1994,469.8999939,2224.949951,3446,18124.00977
10/01/1994,475.269989,2225,3440.600098,18443.43945
11/01/1994,474.1300049,2228.100098,3413.800049,18485.25
12/01/1994,474.1700134,2182.060059,3372,18793.88086
13/01/1994,472.4700012,2142.370117,3360,18577.25977
14/01/1994,474.9100037,2151.050049,3400.600098,18973.69922
17/01/1994,473.2999878,2115.560059,3407.800049,18725.36914
18/01/1994,474.25,2130.350098,3437,18514.55078
19/01/1994,474.2999878,2132.52002,3475.100098,19039.40039
20/01/1994,474.980011,2098.360107,3470,19183.91992
21/01/1994,474.7200012,2073.939941,3484.199951,19307.42969
24/01/1994,471.9700012,2107.290039,3481.399902,18353.24023
25/01/1994,470.9200134,2090.780029,3444,18648.35938
26/01/1994,473.2000122,2128.659912,3436.100098,19138.21094
27/01/1994,477.0499878,2123.310059,3427.300049,18891.78906
28/01/1994,478.7000122,2156.610107,3447.399902,18757.88086
31/01/1994,481.6099854,2192.600098,3491.800049,20229.11914
01/02/1994,479.6199951,2181.879883,3481.5,20416.33984
02/02/1994,482,2184.050049,3520.300049,20250.0293
03/02/1994,480.7099915,2137.080078,3491.5,20174.82031
04/02/1994,469.8099976,2143.899902,3475.399902,20301.42969
07/02/1994,471.7600098,2095.110107,3419.100098,20014.40039
08/02/1994,471.0499878,2099.570068,3440.199951,20251.23047
09/02/1994,472.769989,2116.429932,3429.100098,19841.38086
10/02/1994,468.9299927,2119.689941,3407,19990.69922
11/02/1994,470.1799927,2108.77002,3378.899902,19990.69922
14/02/1994,470.230011,2101.929932,3363.5,19459.25
15/02/1994,472.519989,2130.709961,3393.199951,18974.59961
16/02/1994,472.7900085,2135.25,3417.699951,19052.10938
17/02/1994,470.3399963,2162.290039,3425.300049,18931.39063
18/02/1994,467.6900024,2133.850098,3382.600098,18959.59961
21/02/1994,467.6900024,2108.060059,3350.300049,19393.93945
22/02/1994,471.4599915,2113.639893,3333.699951,19342.63086
23/02/1994,470.6900024,2140.25,3341.899902,19341.83008
24/02/1994,464.2600098,2082.899902,3267.5,19765.48047
25/02/1994,466.0700073,2075.330078,3281.199951,19803.38086
28/02/1994,467.1400146,2103.23999,3328.100098,19997.19922
01/03/1994,464.4400024,2056.610107,3270.600098,20216.61914
02/03/1994,464.8099976,2018.689941,3248.100098,19744.76953
03/03/1994,463.0100098,2044.449951,3246.5,19605.85938
04/03/1994,464.7399902,2076.76001,3278,19966
07/03/1994,466.9100037,2132.120117,3305.899902,19811.88086
08/03/1994,465.8800049,2125.469971,3264.399902,19898.39063
09/03/1994,467.0599976,2118.01001,3246.699951,19839.17969
10/03/1994,463.8999939,2124.51001,3233.899902,20090.71094
11/03/1994,466.4400024,2101.889893,3191.899902,20115.31055
14/03/1994,467.3900146,2169.399902,3233.399902,20526.15039
15/03/1994,467.0100098,2178.909912,3267.399902,20508.84961
16/03/1994,469.4200134,2168.110107,3242.899902,20677.76953
17/03/1994,470.8999939,2160.449951,3255.699951,20592.16016
18/03/1994,471.0599976,2140.389893,3218.100098,20469.44922
21/03/1994,468.5400085,2130.550049,3198,20469.44922
22/03/1994,468.7999878,2141.699951,3201.5,20253.5293
23/03/1994,468.5400085,2162.959961,3155.300049,19962.09961
24/03/1994,464.3500061,2144.360107,3121.699951,20037.90039
25/03/1994,460.5799866,2144,3129,19836.48047
28/03/1994,460,2167.719971,3129.5,19941.78906
29/03/1994,452.480011,2162.820068,3123.399902,19709.74023
30/03/1994,445.5499878,2151.840088,3092.399902,19559.91016
31/03/1994,445.769989,2142.879883,3086.399902,19111.91992
01/04/1994,445.769989,2142.879883,3086.399902,19277.16016
04/04/1994,438.9200134,2142.879883,3086.399902,19122.2207
05/04/1994,448.2900085,2177.090088,3116.199951,19563.21094
06/04/1994,448.0499878,2184.889893,3131.5,19696.74023
07/04/1994,450.8800049,2202.570068,3129,19890.98047
08/04/1994,447.1000061,2203.179932,3120.800049,19934.99023
11/04/1994,449.8699951,2224.850098,3149.399902,19898.08008
