,European Union,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland,United Kingdom,Bosnia and Herzegovina,Montenegro,North Macedonia,Albania,Serbia,Türkiye,Kosovo
2012,-0.8,0.7,0.7,-0.8,0,0.4,3.2,-0.4,-7.1,-3,0.2,-2.3,-3,-3.4,7,3.8,1.6,-1.3,4.1,-1,0.7,1.5,-4.1,1.9,-2.6,1.3,-1.4,-0.4,1.1,2.7,1.2,1.4,-0.8,-2.7,-0.5,1.4,-0.7,4.8,1.7
2013,0,0.5,-0.5,0,1.4,0.4,1.5,2.2,-2.5,-1.4,0.8,-0.3,-1.8,-6.6,2,3.6,3.2,1.8,5.5,0,0,0.9,-0.9,0.3,-1,0.6,-0.9,1.1,4.6,1,1.8,2.2,2.3,3.5,2.9,1,2.9,8.5,5.3
2014,1.6,1.6,0.9,2.2,1.3,2.2,3,9.3,0.5,1.4,1,-0.3,0,-1.8,1.9,3.5,2.6,4.2,7.6,1.6,0.7,3.8,0.8,4.1,2.8,2.7,-0.4,2.3,1.7,2,2.3,2.9,1.2,1.8,3.6,1.8,-1.6,4.9,3.3
2015,2.3,2,3.4,5,2.1,1.5,1.9,24.6,-0.2,3.8,1.1,2.5,0.8,3.4,3.9,2,2.3,3.7,9.6,2.1,1,4.4,1.8,3.2,2.2,5.2,0.5,4.4,4.4,1.9,1.6,2.4,4.3,3.4,3.9,2.2,1.8,6.1,5.9
2016,1.9,1.3,3,2.6,3.1,2.2,3.2,1.2,-0.5,3,0.9,3.6,1.3,6.6,2.4,2.5,5,2.2,3.4,2.4,2,3,2,2.9,3.2,1.9,2.8,2.3,6.3,1.2,2.1,1.7,3.2,2.9,2.8,3.3,3.3,3.3,5.6
2017,2.8,1.6,2.7,5.2,3.1,2.7,5.8,10,1.1,3,2.1,3.4,1.7,5.7,3.3,4.3,1.3,4.3,10.9,2.8,2.3,5.1,3.5,8.2,4.8,2.9,3.2,1.8,4.2,2.5,1.4,1.7,3.2,4.7,1.1,3.8,2.1,7.5,4.8
2018,2,1.8,2.7,2.8,1.9,1,3.8,7.5,1.7,2.3,1.6,3,0.9,5.6,4,4,1.2,5.4,7.4,2.3,2.4,5.9,2.8,6,4.5,4,1.1,1.9,4.9,0.8,2.9,1.3,3.8,5.1,2.9,4,4.5,3,3.4
2019,1.9,2.2,4,3.6,1.7,1.1,4,5,1.9,2,2,3.4,0.5,5.5,0.6,4.7,2.9,4.9,7.1,2.3,1.5,4.5,2.7,3.9,3.5,2.5,1.2,2.5,1.9,1.1,1.1,1.4,2.9,4.1,3.9,2.1,4.3,0.8,4.8
2020,-5.6,-5.3,-4,-5.3,-1.8,-3.8,-1,7.2,-9.3,-11.2,-7.4,-8.5,-9,-3.4,-3.5,0,-0.9,-4.5,-8.2,-3.9,-6.6,-2,-8.3,-3.7,-4.2,-3.3,-2.4,-2,-6.9,-1.3,-2.1,:,-3,-15.3,-4.7,-3.5,-0.9,1.9,-5.3
2021,6.1,6.9,7.7,4,7.4,3.2,7.2,16.3,8.4,6.4,6.9,13,8.3,9.9,6.7,6.3,7.2,7.1,12.5,6.3,4.2,6.9,5.7,5.7,8.2,4.8,2.8,5.9,5.1,3.9,5.4,:,7.4,13,4.5,:,7.7,11.4,10.7
2022,3.4,3,3.9,2.8,1.5,1.8,-0.5,8.6,5.6,5.8,2.6,7,4,5.1,3,2.4,1.4,4.6,8.1,5,4.8,5.6,6.8,4.1,2.5,1.9,1.3,1.5,8.9,3,2.6,:,4.2,6.4,2.2,:,2.5,5.5,4.3
2023,0.4,1.4,1.8,-0.1,2.5,-0.2,-3,-5.5,2,2.5,0.9,3.1,0.9,2.5,-0.3,-0.3,-1.1,-0.9,5.7,0.1,-0.8,0.2,2.3,2.1,1.6,1.6,-1.2,-0.2,4.1,0.5,0.7,:,1.7,6,1,:,2.5,4.5,3.3
